no,co,cl,tb,s,l,r,b,lr,rr,br,hh,ha,hs,he,ci,cw,re,la,pl,u1,u2,u3,le,sa,mw,t,pr,d,n,i,v,nx,rp,u,f,ra,h,si
1.00,1,00,False,"['b', 'l']","[[[[3, 3], [63, 3]], '1-390']]",[],"[[[[122, 4]], '1-390']]",['MW9.30-11'],[],['F9-11'],False,False,False,False,False,False,True,False,False,3,2,7,U,,1.001,['SP'],Calculus I (GIR),"Presents engineering problems in a computational setting with emphasis on data science and problem abstraction.&nbsp;Covers exploratory data analysis and visualization, filtering, regression. Building basic machine learning models (classifiers, decision trees, clustering) for smart city applications. Labs and programming projects focused on analytics problems faced by cities, infrastructure, and environment. Students taking graduate version complete additional assignments and project work.",Engineering Computation and Data Science,"Williams, John",False,False,False,,False,4.5,20.5,28.0
1.001,1,001,False,"['l', 'b']","[[[[3, 3], [63, 3]], '1-390']]",[],"[[[[122, 4]], '1-390']]",['MW9.30-11'],[],['F9-11'],False,False,False,False,False,False,False,False,False,3,2,7,G,,1.00,['SP'],Calculus I (GIR),"Presents engineering problems in a computational setting with emphasis on data science and problem abstraction.&nbsp;Covers exploratory data analysis and visualization, filtering, regression. Building basic machine learning models (classifiers, decision trees, clustering) for smart city applications. Labs and programming projects focused on analytics problems faced by cities, infrastructure and environment. Students taking graduate version will complete additional assignments and project work.",Engineering Computation and Data Science,"Williams, John",False,False,False,,False,4.5,20.5,28.0
1.013,1,013,False,['l'],"[[[[14, 4]], '5-134']]",[],[],['M3-5'],[],[],False,False,False,False,False,False,False,False,False,1,3,2,U,,,"['FA', 'SP']",Permission of instructor,"Students engage with faculty around a topic of mutual interest, building on the knowledge/skills gained throughout their program. Synthesizes prior coursework and experiences through a semester-long design project and related assignments. Students form teams and work on projects advised by faculty representatives from each core in the 1-ENG curriculum. Teams demonstrate creativity in applying theories and methodologies while considering their project's technical, environmental and social feasibility. Includes lectures on a variety of related engineering concepts, as well as scholarship and engineering practice and ethics. Provides instruction and practice in oral and written communication.",Senior Civil and Environmental Engineering Design,"Whittle, Andrew",False,False,True,,False,3.2,10.5,13.0
1.015,1,015,False,"['l', 'b']","[[[[36, 3], [96, 3]], '1-134']]",[],"[[[[72, 6]], 'NW98-100']]",['TR11-12.30'],[],['W2-5'],False,False,False,False,False,False,False,False,True,3,3,6,U,2.017,,['SP'],"2.003, 2.016, and 2.678; [2.671]","Design, construction, and testing of field robotic systems, through team projects with each student responsible for a specific subsystem. Projects focus on electronics, instrumentation, and machine elements. Design for operation in uncertain conditions is a focus point, with ocean waves and marine structures as a central theme. Basic statistics, linear systems, Fourier transforms, random processes, spectra and extreme events with applications in design. Lectures on ethics in engineering practice included. Instruction and practice in oral and written communication provided. Satisfies 6 units of Institute Laboratory credit. Enrollment may be limited due to laboratory capacity.",Design of Electromechanical Robotic Systems,"Triantafyllou, Michael",False,False,False,,False,5.9,13.1,17.5
1.016,1,016,False,"['l', 'r']","[[[[14, 3], [74, 3]], '31-115']]","[[[[134, 2]], '31-115']]",[],['MW3-4.30'],['F3'],[],False,False,False,False,False,False,False,False,False,3,1,5,U,"2.00C, EC.746",,['SP'],None,"Students work in small groups, under the guidance of researchers from MIT, to pursue specific aspects of the year's Terrascope problem. Teams design and build prototypes, graphic displays and other tools to communicate their findings and display them in a Bazaar of Ideas open to the MIT community. Some teams develop particular solutions, others work to provide deeper understanding of the issues, and others focus on ways to communicate these ideas with the general public. Students' work is evaluated by independent experts. Offers students an opportunity to develop ideas from the fall semester and to work in labs across MIT. Limited to first-year students.",Design for Complex Environmental Issues: Building Solutions and Communicating Ideas,"Epstein, Ari",False,False,False,,False,5.1,8.9,16.0
1.020,1,020,False,"['r', 'l']","[[[[2, 3], [62, 3]], '1-246']]","[[[[123, 4]], '1-246']]",[],['MW9-10.30'],['F9.30-11.30'],[],False,False,False,False,False,False,False,False,False,3,2,7,U,,,['SP'],"Physics I (GIR), 18.03, and (1.00 or 1.000)","Introduces a systems approach to modeling, analysis, and design of sustainable systems. Covers principles of dynamical systems, network models, optimization, and control, with applications in ecosystems, infrastructure networks, and energy systems. Includes a significant programming component. Students implement and analyze numerical models of systems, and make design decisions to balance physical, environmental, and economic considerations based on real and simulated data.",Engineering Sustainability: Analysis and Design,"Amin, Saurabh",False,False,False,,False,5.1,13.2,5.0
1.021,1,021,False,"['r', 'l']","[[[[44, 3], [104, 3]], '4-231']]","[[[[74, 2]], '4-257']]",[],['TR3-4.30'],['W3'],[],False,False,False,False,False,False,True,False,False,4,0,8,U,,,['SP'],"18.03, 3.016B, or permission of instructor","Basic concepts of computer modeling and simulation in science and engineering. Uses techniques and software for simulation, data analysis and visualization. Continuum, mesoscale, atomistic and quantum methods used to study fundamental and applied problems in physics, chemistry, materials science, mechanics, engineering, and biology. Examples drawn from the disciplines above are used to understand or characterize complex structures and materials, and complement experimental observations.",Introduction to Modeling and Simulation,"Buehler, Marcus",False,False,False,,False,6.1,9.0,7.0
1.035,1,035,False,"['l', 'b']","[[[[6, 2], [66, 2], [126, 2]], '1-273']]",[],"[[[[42, 6]], '1-050']]",['MWF11'],[],['T2-5'],False,False,False,False,False,False,False,False,False,3,2,7,U,,1.535,['SP'],1.050 or permission of instructor,"Introduces the structure and properties of natural and manufactured building materials, including rheology elasticity, fracture mechanics, viscoelasticity and plasticity. Emphasizes effects of molecular and nanoscopic structure and interactions on macroscopic material behavior. Focuses on design of natural and structural materials. Discusses material aspects of sustainable development. Presents principles of experimental characterization techniques. Explores microscopic and macroscopic mechanical approaches to characterize structure and properties of materials. In laboratory and in-field sessions, students design and implement experimental approaches to characterize natural and building materials and study their interaction with the environment. Students taking graduate version complete additional assignments.",Mechanics of Materials,"Ulm, Franz-Josef",False,False,False,,True,5.3,9.2,7.0
1.036,1,036,False,"['l', 'r']","[[[[10, 3], [70, 3]], '1-246']]","[[[[130, 2]], '1-246']]",[],['MW1-2.30'],['F1'],[],False,False,False,False,False,False,False,False,False,3,1,8,U,,,['SP'],1.035 and 1.050,"Familiarizes students with structural systems, loads, and basis for structural design, including analysis of determinate and indeterminate structures (trusses, beams, frames, cables, and arches). Covers mechanical properties of construction materials, including concrete, steel, and composites. Studies concrete and steel structures through application of principles of structural mechanics. Evaluates behavior and design of reinforced concrete structural elements using limit strength design and serviceability principles. Introduces plastic analysis and design, and load factor design of structural steel members and connections. Team project emphasizes material covered through behavior and problem-based learning.",Structural Mechanics and Design,"Buyukozturk, Oral",False,False,False,,False,5.2,10.7,7.5
1.037,1,037,False,"['b', 'l']","[[[[4, 2], [64, 2], [124, 2]], '1-371']]",[],"[[[[100, 4]], '3-442']]",['MWF10'],[],['R1-3'],False,False,False,False,False,False,False,False,False,3,2,7,U,,,['SP'],None,"Provides an introduction to soils as engineering materials, including classification and characterization, pore pressures and seepage, principles of effective stress and consolidation, deformation, and shear strength properties. Surveys analysis methods, with a focus on slope stability, limiting earth pressures and bearing capacity, and settlements of foundations. Examines applications in the design of earth dams, earth retaining systems, foundations, and staged construction processes.",Soil Mechanics and Geotechnical Design,"Whittle, Andrew",False,False,False,,False,6.0,14.0,1.0
