no,co,s,l,r,b,le,sa,t,ra,si
1,1,"['b', 'l']","[[[[3, 3], [63, 3]], '1-390']]",[],"[[[[122, 4]], '1-390']]",U,,['SP'],4.5,28
1.001,1,"['l', 'b']","[[[[3, 3], [63, 3]], '1-390']]",[],"[[[[122, 4]], '1-390']]",G,,['SP'],4.5,28
1.013,1,['l'],"[[[[14, 4]], '5-134']]",[],[],U,,"['FA', 'SP']",3.2,13
1.015,1,"['l', 'b']","[[[[36, 3], [96, 3]], '1-134']]",[],"[[[[72, 6]], 'NW98-100']]",U,2.017,['SP'],5.9,17.5
1.016,1,"['l', 'r']","[[[[14, 3], [74, 3]], '31-115']]","[[[[134, 2]], '31-115']]",[],U,"2.00C, EC.746",['SP'],5.1,16
1.02,1,"['r', 'l']","[[[[2, 3], [62, 3]], '1-246']]","[[[[123, 4]], '1-246']]",[],U,,['SP'],5.1,5
1.021,1,"['r', 'l']","[[[[44, 3], [104, 3]], '4-231']]","[[[[74, 2]], '4-257']]",[],U,,['SP'],6.1,7
1.035,1,"['l', 'b']","[[[[6, 2], [66, 2], [126, 2]], '1-273']]",[],"[[[[42, 6]], '1-050']]",U,,['SP'],5.3,7
1.036,1,"['l', 'r']","[[[[10, 3], [70, 3]], '1-246']]","[[[[130, 2]], '1-246']]",[],U,,['SP'],5.2,7.5
1.037,1,"['b', 'l']","[[[[4, 2], [64, 2], [124, 2]], '1-371']]",[],"[[[[100, 4]], '3-442']]",U,,['SP'],6,1
1.053,1,"['r', 'l']","[[[[3, 3], [63, 3]], '3-270']]","[[[[104, 2]], '5-217'], [[[100, 2]], '5-217'], [[[102, 2]], '5-217']]",[],U,2.003,"['FA', 'SP']",5.3,92.2
1.056,1,"['b', 'l']","[[[[3, 3], [63, 3]], '3-333']]",[],"[[[[124, 4]], '5-233']]",U,4.44,['SP'],3.5,35.5
1.06,1,"['l', 'b']","[[[[4, 2], [64, 2], [124, 2]], '1-132']]",[],"[[[[34, 4]], '1-132'], [[[133, 4]], '1-132']]",U,,['SP'],0,0
1.060A,1,"['b', 'l']","[[[[4, 2], [64, 2], [124, 2]], '1-132']]",[],"[[[[34, 4]], '1-132'], [[[133, 4]], '1-132']]",U,,['SP'],5.2,14.5
1.062,1,['l'],"[[[[36, 3], [96, 3]], '2-143']]",[],[],U,"12.207, 18.354",['SP'],6.1,11.5
1.063,1,['l'],"[[[[15, 3], [75, 3]], '1-371']]",[],[],U,,['SP'],6.1,8
1.067,1,['l'],"[[[[36, 3], [96, 3]], '1-135']]",[],[],U,"10.421, IDS.065",['SP'],0,0
1.08,1,"['r', 'l']","[[[[10, 3], [130, 3]], '48-308']]","[[[[133, 2]], '48-308']]",[],U,,['SP'],0,0
1.081,1,['l'],"[[[[40, 3], [100, 3]], '56-162']]",[],[],U,20.104,['SP'],6.5,2
1.082,1,['l'],"[[[[14, 4]], '66-148'], [[[44, 4]], '66-148'], [[[82, 4]], '2-151'], [[[74, 4]], '66-148']]",[],[],U,,"['FA', 'SP']",6.2,56.2
1.088,1,['l'],"[[[[33, 3], [93, 3]], '5-134']]",[],[],U,,['SP'],0,0
1.089,1,['l'],"[[[[33, 3], [93, 3]], '48-308']]",[],[],U,,['SP'],6,12.5
1.102,1,"['l', 'b']","[[[[34, 2]], '1-050']]",[],"[[[[92, 6]], '1-050']]",U,,['SP'],5.1,10
1.107,1,"['b', 'l']","[[[[70, 2]], '48-308']]",[],"[[[[72, 6]], '48-109']]",U,,['SP'],5.5,6
1.142,1,"['l', 'r']","[[[[16, 3], [76, 3]], 'E51-315']]","[[[[126, 2]], 'E51-345']]",[],G,15.094,['SP'],6.1,33
1.202,1,"['r', 'l']","[[[[10, 3], [70, 3]], '2-105']]","[[[[126, 2]], '5-217']]",[],G,,['SP'],5.2,16
1.233,1,['l'],"[[[[10, 3], [70, 3]], '33-418']]",[],[],G,16.763,['SP'],6.4,11
1.251,1,['l'],"[[[[3, 3], [63, 3]], '9-255']]",[],[],G,11.526,['SP'],4.7,21
1.261,1,['l'],"[[[[40, 3], [100, 3]], 'E52-164']]",[],[],G,"15.771, SCM.261",['SP'],6.5,32
1.263,1,['l'],"[[[[34, 3], [94, 3]], 'E51-057']]",[],[],G,"11.263, SCM.293",['SP'],4.8,39
1.266,1,['l'],"[[[[92, 6]], 'E51-057']]",[],[],G,,['SP'],0,0
1.267,1,['l'],"[[[[130, 5]], 'E51-057']]",[],[],G,,['SP'],0,0
1.27,1,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
1.273,1,['l'],"[[[[31, 3], [91, 3]], 'E51-149'], [[[1, 3], [61, 3]], 'E51-345']]",[],[],G,"15.762, IDS.735",['SP'],5.7,107
1.274,1,['l'],"[[[[1, 3], [61, 3]], 'E51-345']]",[],[],G,"15.763, IDS.736",['SP'],4.9,70
1.275,1,['l'],"[[[[34, 6]], '3-133']]",[],[],G,IDS.305,['SP'],6,26
1.322,1,['l'],"[[[[10, 2], [70, 2], [130, 2]], '1-371']]",[],[],G,,['SP'],6.5,4
1.383,1,['l'],"[[[[32, 3], [92, 3]], '1-371']]",[],[],G,,['SP'],7,4
1.39,1,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
1.472,1,['l'],"[[[[46, 3], [106, 3]], '9-354']]",[],[],G,11.344,['SP'],6.8,29.5
1.535,1,"['b', 'l']","[[[[6, 2], [66, 2], [126, 2]], '1-273']]",[],"[[[[42, 6]], '1-050']]",G,,['SP'],5.7,10
1.563,1,['l'],"[[[[72, 6]], '1-135']]",[],[],G,,['SP'],4,10.5
1.589,1,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
1.631,1,['l'],"[[[[15, 3], [75, 3]], '1-371']]",[],[],G,"2.250, HST.537",['SP'],5.8,8
1.66,1,[],[],[],[],G,,"['FA', 'SU', 'SP']",0,0
1.67,1,['l'],"[[[[36, 3], [96, 3]], '1-135']]",[],[],G,"10.621, IDS.521",['SP'],0,0
1.685,1,['l'],"[[[[43, 3], [103, 3]], '3-333']]",[],[],G,"2.034, 18.377",['SP'],6.3,5
1.713,1,['l'],"[[[[16, 2], [76, 2]], '48-308']]",[],[],G,12.834,['SP'],0,0
1.801,1,['l'],"[[[[45, 3], [105, 3]], 'E51-057']]",[],[],U,"11.021, 17.393, IDS.060",['SP'],5.4,24
1.811,1,['l'],"[[[[45, 3], [105, 3]], 'E51-057']]",[],[],G,"11.630, 15.663, IDS.540",['SP'],5.4,24
1.845,1,"['b', 'l']","[[[[11, 3], [131, 3]], '48-311']]",[],"[[[[70, 4]], '48-316']]",G,,['SP'],0,0
1.881,1,['l'],"[[[[33, 3], [93, 3]], '5-134']]",[],[],G,HST.538,['SP'],0,0
1.89,1,['l'],"[[[[33, 3], [93, 3]], '48-308']]",[],[],G,,['SP'],6,12.5
1.899,1,[],[],[],[],G,,['SP'],0,0
